movie_name,description,genre
Modern Times,bubbl trump desir build home young woman yet thwart time time lack experi habit wrong place wrong time,"Comedy, Drama, Romance"
Once Upon a Time in the West,railroad builder advanc unstopp arizona desert way sea jill arriv small town flagston intent start new life,"Drama, Western"
Once Upon a Studio,creat disney 100th anniversari short featur mickey mous corral galleri legendari disney charact group photo,"Animation, Family, Fantasy, Comedy"
The Intouchables,true stori two men never met – quadripleg aristocrat injur paraglid accid young man project,"Drama, Comedy"
It's a Wonderful Life,holiday favourit gener georg bailey spent entir life give peopl fall prevent rich skinflint mr potter take entir town georg modest build loan compani christma eve busi 8000 lost georg troubl begin,"Drama, Family, Fantasy"
Apocalypse Now,height vietnam war captain benjamin wizard sent danger mission offici exist ever exist goal locat elimin mysteri green beret colonel name walter kurt lead person armi illeg guerrilla mission enemi territori,"Drama, War"
Neon Genesis Evangelion: The End of Evangelion,stele order fallout attack nerv aim destroy eva geno advanc plan human instrumentalist project hindi push limit saniti forc decid fate human,"Animation, Science Fiction, Action, Drama"
City Lights,trump fall love beauti blind flower girl standoff friendship wealthi man allow girl benefactor suitor,"Comedy, Drama, Romance"
Paths of Glory,command offic defend three scapegoat trial fail offens occur within french armi 1916,"War, Drama, History"
Miracle in Cell No. 7,separ daughter father intellectu disabl must prove innoc jail death command child,Drama
The Lion King,young lion princ simbad eager one day becom king pride land grow watch eye father mucosa villain uncl scar conspir take throne amid betray tragedi simbad must confront past find right place circl life,"Family, Animation, Drama, Fantasy, Adventure"
Le Trou,four prison inmat hatch plan liter dig jail anoth prison claud bastard move cell take risk share plan newcom cours three day prison friend break concret floor use bed post begin make way sewer system yet escap anyth assur,"Drama, Thriller, Crime"
Oldboy,clue came imprison drug tortur 15 year desper man seek reveng captor,"Drama, Thriller, Mystery, Action"
Rascal Does Not Dream of a Dreaming Girl,fujisawa sakura azusagawa second year high school bliss day girlfriend upperclassman mai sakurajima interrupt appear first crush shook makinohara,"Animation, Romance, Drama, Fantasy"
The Legend of 1900,stori virtuoso piano player life entir life aboard ocean liner born rais ship 1900 learn outsid world interact passeng never set foot land even love life year later ship may destroy former band member fear 1900 may still aboard will go ship,"Drama, Music"
I Want to Eat Your Pancreas,classmat crush diagnos pancreat diseas averag high schooner set make final day,"Animation, Drama, Romance"
Clouds,young musician zach sobiech discov cancer spread leav month live limit time follow dream make album unawar soon viral music phenomenon,"Music, Drama, Romance"
Life in a Year,17 year old find girlfriend die set give entir life last year left,"Drama, Romance"
Taylor Swift: Reputation Stadium Tour,taylor swift take stage dalla reput stadium tour celebr monument night music memori visual magic,Music
Avengers: Endgame,devast event aveng infin war univers ruin due effort mad titan thank help remain alli aveng must assembl order undo thank action restor order univers matter consequ may store,"Adventure, Science Fiction, Action"
Avengers: Infinity War,aveng alli continu protect world threat larg one hero handl new danger emerg cosmic shadow thank depot intergalact infant goal collect six infin stone artifact imagin power use inflict twist realiti everyth aveng fought led moment fate earth exist never uncertain,"Adventure, Action, Science Fiction"
Klaus,helper distinguish postal academi worst student sent smeerensburg small villag locat ici island arctic circl grumpi inhabit bare exchang word let alon letter helper give abandon duti postal meet local teacher alma class mysteri carpent life alon cabin full handmad toy,"Animation, Family, Adventure, Comedy, Fantasy"
Out of the Clear Blue Sky,return earth imit legendari mexican artist pedro infant must prove longer roman enter paradis,"Comedy, Drama, Music"
